Player,Flag,url
Jordan Eberle,🇨🇦,eberljo01
Jared McCann,🇨🇦,mccanja01
Vince Dunn,🇨🇦,dunnvi02
Matty Beniers,🇺🇸,beniema01
André Burakovsky,🇦🇹,burakan01
Yanni Gourde,🇨🇦,gourdya01
Daniel Sprong,🇳🇱,spronda01
Oliver Bjorkstrand,🇩🇰,bjorkol01
Jaden Schwartz,🇨🇦,schwaja01
Alexander Wennberg,🇸🇪,wennbal01
Justin Schultz,🇨🇦,schulju01
Brandon Tanev,🇨🇦,tanevbr01
Adam Larsson,🇸🇪,larssad01
Ryan Donato,🇺🇸,donatry01
Morgan Geekie,🇨🇦,geekimo01
Eeli Tolvanen,🇫🇮,tolvaee01
Jamie Oleksiak,🇨🇦,oleksja01
William Borgen,🇺🇸,borgewi01
Carson Soucy,🇨🇦,soucyca01
Karson Kuhlman,🇺🇸,kuhlmka01
John Hayden,🇺🇸,haydejo01
Shane Wright,🇨🇦,wrighsh01
Cale Fleury,🇨🇦,fleurca01
Jesper Frödén,🇸🇪,frodeje01
Joey Daccord,🇺🇸,daccojo01
Philipp Grubauer,🇩🇪,grubaph01
Martin Jones,🇨🇦,jonesma02
Jaycob Megna,🇺🇸,megnaja02
Gustav Olofsson,🇸🇪,olofsgu01
Calle Jarnkrok,🇸🇪,jarnkca01
Colin Blackwell,🇺🇸,blackco01
Mark Giordano,🇨🇦,giordma01
Marcus Johansson,🇸🇪,johanma03
Mason Appleton,🇺🇸,applema01
Riley Sheahan,🇨🇦,sheahri01
Victor Rask,🇸🇪,raskvi01
Joonas Donskoi,🇫🇮,donskjo01
Kole Lind,🇨🇦,lindko01
Haydn Fleury,🇨🇦,fleurha01
Jeremy Lauzon,🇨🇦,lauzoje01
Nathan Bastian,🇨🇦,bastina01
Derrick Pouliot,🇨🇦,poulide01
Dennis Cholowski,🇨🇦,cholode01
Austin Czarnik,🇺🇸,czarnau01
Alex Barre-Boulet,🇨🇦,barreal01
Chris Driedger,🇨🇦,driedch01
Max McCormick,🇺🇸,mccorma01
Alexander True,🇩🇰,trueal01
Pierre-Édouard Bellemare,🇫🇷,bellepi01
Brian Dumoulin,🇺🇸,dumoubr01
Tye Kartye,🇨🇦,kartyty01
Kailer Yamamoto,🇺🇸,yamamka01
Ryker Evans,🇨🇦,evansry01
Ryan Winterton,🇨🇦,wintery01
Chandler Stephenson,🇨🇦,stephch02
Ben Meyers,🇺🇸,meyerbe01
Berkly Catton,🇨🇦,cattobe01
Jani Nyman,🇫🇮,nymanja01
Ville Ottavainen,🇫🇮,ottavvi01
Frédérick Gaudreau,🇨🇦,gaudrfr01
Mason Marchment,🇨🇦,marchma01
Matt Murray,🇨🇦,murrama02
Ryan Lindgren,🇺🇸,lindgry01
Niklas Kokko,🇫🇮,kokkoni01
Victor Ostman,🇸🇪,ostmavi01
Ales Stezka,🇨🇿,stezkal01
Brandon Montour,🇨🇦,montobr01
Kaapo Kakko,🇫🇮,kakkoka01
Josh Mahura,🇨🇦,mahurjo01
Tomáš Tatar,🇨🇸,tatarto01
Devin Shore,🇨🇦,shorede01
Logan Morrison,🇨🇦,morrilo01
Andrew Poturalski,🇺🇸,poturan01
Marián Studenič,🇸🇰,studema01
Michael Eyssimont,🇺🇸,eyssimi01
Mitchell Stephens,🇨🇦,stephmi01
Jacob Melanson,🇨🇦,melanja01
