# Data downloaded from: https://www.hockey-reference.com/teams/ATL/2001.html
Rk,Player,Age,Pos,GP,Scoring_G,Scoring_A,Scoring_PTS,+/-,PIM,Goals_EVG,Goals_PPG,Goals_SHG,Goals_GWG,Assists_EV,Assists_PP,Assists_SH,Shots_SOG,Shots_SPCT,Ice Time_TOI,Ice Time_ATOI,Awards,url
1.0,Ray Ferraro,36.0,C,81,29,47,76,-11,91,18,11,0,2,30.0,17.0,0.0,172,16.9,1483:02,18:19,Byng-37,ferrara01
2.0,Donald Audette,31.0,RW,64,32,39,71,-3,64,18,13,1,2,25.0,14.0,0.0,187,17.1,1298:55,20:18,ASG,audetdo01
3.0,Andrew Brunette,27.0,LW,77,15,44,59,-5,26,9,6,0,4,28.0,16.0,0.0,104,14.4,1306:38,16:58,,brunean01
4.0,Patrik Štefan,20.0,C,66,10,21,31,-3,22,10,0,0,1,13.0,6.0,2.0,93,10.8,932:06,14:07,,stefapa01
5.0,Steve Guolla,27.0,LW,63,12,16,28,-6,23,10,2,0,3,11.0,2.0,3.0,96,12.5,924:59,14:41,,guollst01
6.0,Hnat Domenichelli,24.0,LW,63,15,12,27,-9,18,11,4,0,1,11.0,1.0,0.0,150,10.0,903:52,14:21,,domenhn01
7.0,Tomi Kallio,24.0,LW,56,14,13,27,-3,22,12,2,0,2,11.0,2.0,0.0,115,12.2,911:32,16:17,,kallito01
8.0,Shean Donovan,26.0,RW,63,12,11,23,-14,47,8,1,3,1,10.0,1.0,0.0,93,12.9,885:30,14:03,,donovsh01
9.0,Steve Staios,27.0,D,70,9,13,22,-23,137,5,4,0,0,6.0,7.0,0.0,156,5.8,1522:05,21:45,,staiost01
10.0,Per Svartvadet,25.0,C,69,10,11,21,-6,20,8,0,2,1,10.0,1.0,0.0,98,10.2,1014:50,14:42,,svartpe01
11.0,Jiří Šlégr,29.0,D,33,3,16,19,-1,36,1,2,0,0,7.0,9.0,0.0,78,3.8,711:48,21:34,,slegrji01
12.0,Chris Tamer,30.0,D,82,4,13,17,-1,128,3,0,1,1,13.0,0.0,0.0,90,4.4,1614:56,19:42,,tamerch01
13.0,Andreas Karlsson,25.0,C,60,5,11,16,-2,16,4,0,1,0,9.0,1.0,1.0,83,6.0,774:23,12:54,,karlsan01
14.0,František Kaberle,27.0,D,51,4,11,15,11,18,3,1,0,1,6.0,4.0,1.0,99,4.0,1136:29,22:17,,kaberfr01
15.0,Gord Murphy,33.0,D,27,3,11,14,-11,12,1,2,0,0,3.0,6.0,2.0,44,6.8,559:39,20:44,,murphgo01
16.0,Jeff Odgers,31.0,RW,82,6,7,13,-8,226,6,0,0,1,7.0,0.0,0.0,67,9.0,708:42,8:39,,odgerje01
17.0,Yannick Tremblay,25.0,D,46,4,8,12,-6,30,3,1,0,1,5.0,3.0,0.0,102,3.9,940:24,20:27,,trembya01
18.0,Dean Sylvester,28.0,RW,43,5,6,11,-16,8,4,1,0,0,2.0,4.0,0.0,82,6.1,605:07,14:04,,sylvede01
19.0,Yves Sarault,28.0,LW,20,5,4,9,-9,26,3,2,0,0,4.0,0.0,0.0,44,11.4,262:46,13:08,,sarauyv01
20.0,Herberts Vasiļjevs,24.0,RW,21,4,5,9,-11,14,2,2,0,1,2.0,2.0,1.0,41,9.8,336:20,16:01,,vasilhe01
21.0,Denny Lambert,31.0,LW,67,1,7,8,-5,215,1,0,0,0,6.0,1.0,0.0,44,2.3,612:11,9:08,,lambede01
22.0,Ladislav Kohn,25.0,RW,26,3,4,7,-12,44,2,0,1,0,3.0,1.0,0.0,43,7.0,354:20,13:38,,kohnla01
23.0,Brad Tapper,22.0,RW,16,2,3,5,1,6,2,0,0,0,3.0,0.0,0.0,21,9.5,203:42,12:44,,tappebr01
24.0,Andrei Skopintsev,29.0,D,17,1,3,4,-7,16,1,0,0,1,0.0,2.0,1.0,10,10.0,309:45,18:13,,skopian01
25.0,Sergei Vyshedkevich,26.0,D,23,1,2,3,-7,14,1,0,0,0,1.0,1.0,0.0,28,3.6,473:11,20:34,,vyshese01
26.0,Jarrod Skalde,29.0,C,19,1,2,3,-8,20,1,0,0,0,2.0,0.0,0.0,24,4.2,265:05,13:57,,skaldja01
27.0,Chris Joseph,31.0,D,19,0,3,3,-7,20,0,0,0,0,2.0,1.0,0.0,25,0.0,395:13,20:48,,josepch01
28.0,Brett Clark,24.0,D,28,1,2,3,-12,14,1,0,0,0,2.0,0.0,0.0,35,2.9,504:57,18:02,,clarkbr01
29.0,Adam Burt,32.0,D,27,0,2,2,2,27,0,0,0,0,2.0,0.0,0.0,18,0.0,515:11,19:05,,burtad01
30.0,David Harlock,29.0,D,65,0,1,1,-28,62,0,0,0,0,1.0,0.0,0.0,26,0.0,1109:21,17:04,,harloda01
31.0,Bryan Adams,23.0,LW,9,0,1,1,-4,2,0,0,0,0,1.0,0.0,0.0,3,0.0,86:30,9:37,,adamsbr01
32.0,Damian Rhodes,31.0,G,38,0,0,0,0,16,0,0,0,0,,,,0,,2071:58,54:32,,rhodeda01
33.0,Brian Pothier,23.0,D,3,0,0,0,4,2,0,0,0,0,0.0,0.0,0.0,0,,61:53,20:38,,pothibr01
34.0,Norm Maracle,26.0,G,13,0,0,0,0,0,0,0,0,0,,,,0,,752:40,57:54,,maracno01
35.0,Dan Snyder,22.0,C,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,0.0,13:50,6:55,,snydeda01
36.0,Darcy Hordichuk,20.0,LW,11,0,0,0,-3,38,0,0,0,0,0.0,0.0,0.0,6,0.0,80:16,7:18,,hordida01
37.0,Milan Hnilička,27.0,G,36,0,0,0,0,4,0,0,0,0,,,,0,,1879:02,52:12,,hnilimi01
38.0,Scott Fankhouser,25.0,G,7,0,0,0,0,2,0,0,0,0,,,,0,,259:35,37:05,,fankhsc01
39.0,Petr Buzek,23.0,D,5,0,0,0,2,8,0,0,0,0,0.0,0.0,0.0,11,0.0,87:10,17:26,,buzekpe01
40.0,J.P. Vigier,24.0,RW,2,0,0,0,-2,0,0,0,0,0,0.0,0.0,0.0,1,0.0,19:51,9:56,,vigiejp01
