# Data downloaded from: https://www.hockey-reference.com/teams/ATL/2002.html
Rk,Player,Age,Pos,GP,Scoring_G,Scoring_A,Scoring_PTS,PM,PIM,Goals_EVG,Goals_PPG,Goals_SHG,Goals_GWG,Assists_EV,Assists_PP,Assists_SH,Shots_SOG,Shots_SPCT,Ice Time_TOI,Ice Time_ATOI,Awards
1.0,Dany Heatley,21.0,RW,82,26,41,67,-19,56,19,7,0,4,29.0,11.0,1.0,202,12.9,1630:59,19:53,"AR-1,Calder-1"
2.0,Ilya Kovalchuk,18.0,LW,65,29,22,51,-19,28,22,7,0,4,14.0,8.0,0.0,184,15.8,1205:04,18:32,"AR-1,Calder-2"
3.0,Tony Hrkac,35.0,LW,80,18,26,44,-12,12,12,5,1,2,15.0,11.0,0.0,101,17.8,1398:18,17:29,
4.0,Ľuboš Bartečko,25.0,LW,71,13,14,27,-15,30,12,1,0,0,13.0,1.0,0.0,96,13.5,1027:38,14:28,
5.0,Ray Ferraro,37.0,C,61,8,19,27,-32,66,6,2,0,0,13.0,6.0,0.0,72,11.1,975:21,15:59,
6.0,František Kaberle,28.0,D,61,5,20,25,-11,24,4,1,0,0,11.0,9.0,0.0,82,6.1,1316:12,21:35,
7.0,Yannick Tremblay,26.0,D,66,9,15,24,-15,47,8,1,0,1,6.0,9.0,0.0,115,7.8,1440:59,21:50,
8.0,Patrik Štefan,21.0,C,59,7,16,23,-4,22,6,0,1,0,14.0,2.0,0.0,67,10.4,941:40,15:58,
9.0,Tomi Kallio,25.0,RW,60,8,14,22,-8,12,7,1,0,0,13.0,1.0,0.0,102,7.8,884:45,14:45,
10.0,Pascal Rhéaume,28.0,C,42,11,9,20,-3,25,5,6,0,2,7.0,2.0,0.0,61,18.0,606:46,14:27,
11.0,Hnat Domenichelli,25.0,RW,40,8,11,19,-18,34,7,1,0,1,10.0,1.0,0.0,87,9.2,593:41,14:51,
12.0,Daniel Tjärnqvist,25.0,D,75,2,16,18,-22,14,1,1,0,0,14.0,2.0,0.0,68,2.9,1614:26,21:32,
13.0,Per Svartvadet,26.0,C,78,3,12,15,-12,24,3,0,0,0,11.0,0.0,1.0,80,3.8,1042:47,13:22,
14.0,Shean Donovan,27.0,RW,48,6,6,12,-16,40,5,1,0,2,6.0,0.0,0.0,64,9.4,647:36,13:30,
15.0,Brian Pothier,24.0,D,33,3,6,9,-19,22,2,1,0,1,6.0,0.0,0.0,65,4.6,715:34,21:41,
16.0,Jeff Odgers,32.0,RW,46,4,4,8,-3,135,4,0,0,1,4.0,0.0,0.0,34,11.8,396:39,8:37,
17.0,Todd Reirden,30.0,D,65,3,5,8,-25,82,2,1,0,0,4.0,1.0,0.0,85,3.5,1172:18,18:02,
18.0,Jiří Šlégr,30.0,D,38,3,5,8,-21,51,2,1,0,0,2.0,2.0,1.0,56,5.4,811:31,21:21,
19.0,Andreas Karlsson,26.0,C,42,1,7,8,-8,20,1,0,0,0,7.0,0.0,0.0,41,2.4,524:51,12:30,
20.0,Bob Corkum,34.0,C,65,3,4,7,-30,16,3,0,0,0,4.0,0.0,0.0,70,4.3,1025:38,15:47,
21.0,Chris Tamer,31.0,D,78,3,3,6,-11,111,2,0,1,0,3.0,0.0,0.0,66,4.5,1442:22,18:30,
22.0,Brad Tapper,23.0,RW,20,2,4,6,-3,43,2,0,0,0,3.0,1.0,0.0,34,5.9,267:04,13:21,
23.0,Jeff Cowan,25.0,RW,38,4,1,5,-11,50,4,0,0,1,1.0,0.0,0.0,51,7.8,473:12,12:27,
24.0,J.P. Vigier,25.0,RW,15,4,1,5,-5,4,4,0,0,0,1.0,0.0,0.0,18,22.2,198:11,13:13,
25.0,Andy Sutton,26.0,D,24,0,4,4,0,46,0,0,0,0,4.0,0.0,0.0,20,0.0,370:04,15:25,
26.0,Darcy Hordichuk,21.0,LW,33,1,1,2,-5,127,1,0,0,0,1.0,0.0,0.0,8,12.5,199:31,6:03,
27.0,Milan Hnilička,28.0,G,60,0,2,2,0,8,0,0,0,0,,,,0,,3387:26,56:27,
28.0,Dan Snyder,23.0,C,11,1,1,2,-3,30,1,0,0,0,1.0,0.0,0.0,7,14.3,120:26,10:57,
29.0,Yuri Butsayev,23.0,C,8,2,0,2,1,4,2,0,0,0,0.0,0.0,0.0,6,33.3,107:42,13:28,
30.0,Mike Weaver,23.0,D,16,0,1,1,0,10,0,0,0,0,1.0,0.0,0.0,9,0.0,222:28,13:54,
31.0,Kamil Piroš,23.0,C,8,0,1,1,-2,4,0,0,0,0,1.0,0.0,0.0,4,0.0,97:39,12:12,
32.0,David Harlock,30.0,D,19,0,1,1,-2,18,0,0,0,0,1.0,0.0,0.0,12,0.0,283:21,14:55,
33.0,Kirill Safronov,20.0,D,2,0,0,0,-3,2,0,0,0,0,0.0,0.0,0.0,2,0.0,42:22,21:11,
34.0,Luke Sellars,20.0,D,1,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,,3:27,3:27,
35.0,Ben Simon,23.0,C,6,0,0,0,1,6,0,0,0,0,0.0,0.0,0.0,7,0.0,56:00,9:20,
36.0,Damian Rhodes,32.0,G,15,0,0,0,0,0,0,0,0,0,,,,0,,768:58,51:16,
37.0,Pasi Nurminen,26.0,G,9,0,0,0,0,0,0,0,0,0,,,,0,,444:54,49:26,
38.0,Norm Maracle,27.0,G,1,0,0,0,0,0,0,0,0,0,,,,0,,59:58,59:58,
39.0,Derek MacKenzie,20.0,C,1,0,0,0,-1,2,0,0,0,0,0.0,0.0,0.0,1,0.0,13:51,13:51,
40.0,Francis Lessard,22.0,D,5,0,0,0,0,26,0,0,0,0,0.0,0.0,0.0,2,0.0,63:47,12:45,
41.0,Mark Hartigan,24.0,C,2,0,0,0,-2,2,0,0,0,0,0.0,0.0,0.0,3,0.0,26:32,13:16,
42.0,Brett Clark,25.0,D,2,0,0,0,-3,0,0,0,0,0,0.0,0.0,0.0,0,,31:03,15:32,
43.0,Frédéric Cassivi,26.0,G,6,0,0,0,0,0,0,0,0,0,,,,0,,306:48,51:08,
44.0,Petr Buzek,24.0,D,9,0,0,0,-4,13,0,0,0,0,0.0,0.0,0.0,2,0.0,143:41,15:58,
