# Data downloaded from: https://www.hockey-reference.com/teams/ATL/2008.html
Rk,Player,Age,Pos,GP,Scoring_G,Scoring_A,Scoring_PTS,+/-,PIM,Goals_EVG,Goals_PPG,Goals_SHG,Goals_GWG,Assists_EV,Assists_PP,Assists_SH,Shots_SOG,Shots_SPCT,Shots_TSA,Ice Time_TOI,Ice Time_ATOI,Faceoffs_FOW,Faceoffs_FOL,Faceoffs_FO%,BLK,HIT,TAKE,GIVE,Awards,url
1.0,Ilya Kovalchuk,24.0,LW,79,52,35,87,-12,52,34,16,2,4,21.0,14.0,0.0,283,18.4,528,1698:43,21:30,13,16,44.8,25,39,49,66,"ASG,ASnhl-3,Byng-83,Hart-14",kovalil01
2.0,Marián Hossa,29.0,RW,60,26,30,56,-14,30,16,8,2,4,12.0,18.0,0.0,229,11.4,345,1315:04,21:55,4,10,28.6,15,52,55,31,"ASG,ASnhl-12,Byng-60,Selke-35",hossama01
3.0,Éric Perrin,32.0,C,81,12,33,45,-5,26,8,2,2,0,21.0,4.0,8.0,121,9.9,224,1443:58,17:50,378,335,53.0,31,51,58,35,Selke-64,perrier01
4.0,Vyacheslav Kozlov,35.0,LW,82,17,24,41,-10,26,12,5,0,4,15.0,9.0,0.0,161,10.6,273,1306:52,15:56,31,37,45.6,16,27,47,46,,kozlovy01
5.0,Mark Recchi,39.0,RW,53,12,28,40,-16,20,7,5,0,0,14.0,14.0,0.0,85,14.1,127,974:44,18:23,23,26,46.9,17,51,29,35,,recchma01
6.0,Toby Enström,23.0,D,82,5,33,38,-5,42,1,4,0,0,11.0,22.0,0.0,105,4.8,207,2006:33,24:28,0,0,,106,21,30,52,"AR-1,Calder-6",enstrto01
7.0,Todd White,32.0,C,74,14,23,37,-12,36,7,6,1,4,18.0,5.0,0.0,111,12.6,160,1363:40,18:26,536,613,46.6,37,37,77,27,Selke-42,whiteto02
8.0,Bobby Holík,37.0,C,82,15,19,34,-14,90,12,3,0,3,15.0,3.0,1.0,140,10.7,239,1309:47,15:58,871,619,58.5,41,146,65,30,Selke-42,holikbo01
9.0,Chris Thorburn,24.0,RW,73,5,13,18,-4,92,5,0,0,1,13.0,0.0,0.0,72,6.9,106,652:27,8:56,12,8,60.0,19,89,18,10,,thorbch01
10.0,Bryan Little,20.0,C,48,6,10,16,-2,18,4,2,0,1,10.0,0.0,0.0,76,7.9,119,749:15,15:37,224,271,45.3,8,15,26,11,,littlbr01
11.0,Pascal Dupuis,28.0,LW,62,10,5,15,-4,24,7,0,3,1,5.0,0.0,0.0,111,9.0,185,916:00,14:46,5,8,38.5,29,49,44,15,,dupuipa01
12.0,Niclas Hävelid,34.0,D,81,1,13,14,2,42,1,0,0,0,12.0,0.0,1.0,54,1.9,97,1661:04,20:30,0,0,,183,34,28,45,Byng-45,havelni01
13.0,Jim Slater,25.0,C,69,8,5,13,-10,41,6,0,2,0,5.0,0.0,0.0,95,8.4,143,717:03,10:24,188,165,53.3,28,84,26,9,,slateji01
