# Data downloaded from: https://www.hockey-reference.com/teams/ATL/2011.html
Rk,Player,Age,Pos,GP,Scoring_G,Scoring_A,Scoring_PTS,PM,PIM,Goals_EVG,Goals_PPG,Goals_SHG,Goals_GWG,Assists_EV,Assists_PP,Assists_SH,Shots_SOG,Shots_SPCT,Shots_TSA,Ice Time_TOI,Ice Time_ATOI,Faceoffs_FOW,Faceoffs_FOL,Faceoffs_FO%,BLK,HIT,TAKE,GIVE,Awards
1.0,Andrew Ladd,25.0,LW,81,29,30,59,-10,39,18,9,2,2,20.0,9.0,1.0,195,14.9,333,1625:50,20:04,15,28,34.9,43,68,61,43,
2.0,Dustin Byfuglien,25.0,D,81,20,33,53,-2,93,12,8,0,6,17.0,16.0,0.0,347,5.8,650,1887:40,23:18,0,0,,71,138,84,58,"ASG,ASnhl-8,Norris-7"
3.0,Toby Enström,26.0,D,72,10,41,51,-10,54,4,6,0,0,18.0,22.0,1.0,113,8.8,246,1705:22,23:41,0,0,,137,30,26,27,ASnhl-18
4.0,Bryan Little,23.0,C,76,18,30,48,11,33,14,2,2,1,21.0,8.0,1.0,158,11.4,283,1402:39,18:27,607,704,46.3,30,40,79,21,
5.0,Evander Kane,19.0,C,73,19,24,43,-12,68,15,4,0,2,20.0,4.0,0.0,234,8.1,375,1303:57,17:52,26,38,40.6,30,151,53,39,
6.0,Nik Antropov,30.0,C,76,16,25,41,-17,42,11,5,0,2,14.0,11.0,0.0,105,15.2,182,1189:25,15:39,260,273,48.8,38,61,35,31,
7.0,Anthony Stewart,26.0,C,80,14,25,39,-10,55,9,5,0,2,20.0,5.0,0.0,141,9.9,231,1197:50,14:58,7,11,38.9,35,97,34,26,
8.0,Rich Peverley,28.0,C,59,14,20,34,-16,35,7,6,1,2,13.0,6.0,1.0,161,8.7,255,1134:11,19:13,552,447,55.3,31,27,47,19,
9.0,Niclas Bergfors,23.0,RW,52,11,18,29,-11,6,8,3,0,1,12.0,6.0,0.0,99,11.1,165,735:56,14:09,2,1,66.7,9,4,40,12,Byng-26
10.0,Alexander Burmistrov,19.0,C,74,6,14,20,-12,27,6,0,0,2,13.0,0.0,1.0,92,6.5,164,978:04,13:13,282,401,41.3,22,62,48,33,
11.0,Chris Thorburn,27.0,C,82,9,10,19,-4,77,7,2,0,0,9.0,1.0,0.0,114,7.9,192,1131:16,13:48,125,126,49.8,71,128,41,10,
12.0,Ron Hainsey,29.0,D,82,3,16,19,3,24,3,0,0,2,14.0,1.0,1.0,83,3.6,183,1482:58,18:05,0,0,,168,49,29,47,
13.0,Blake Wheeler,24.0,RW,23,7,10,17,2,14,7,0,0,0,7.0,3.0,0.0,78,9.0,122,434:08,18:53,0,12,0.0,12,18,19,8,
14.0,Johnny Oduya,29.0,D,82,2,15,17,-15,22,2,0,0,0,11.0,4.0,0.0,90,2.2,209,1699:17,20:43,0,0,,148,64,43,46,
15.0,Zach Bogosian,20.0,D,71,5,12,17,-27,29,5,0,0,1,8.0,4.0,0.0,155,3.2,303,1590:40,22:24,0,0,,89,111,31,53,
16.0,Jim Slater,28.0,C,36,5,7,12,4,19,5,0,0,1,7.0,0.0,0.0,53,9.4,78,380:59,10:35,183,111,62.2,16,59,16,5,
17.0,Ben Eager,27.0,LW,34,3,7,10,4,77,3,0,0,1,7.0,0.0,0.0,41,7.3,72,416:37,12:15,0,2,0.0,9,48,13,10,
