# Data downloaded from: https://www.hockey-reference.com/teams/SEA/2026.html
Rk,Player,Age,Pos,GP,Scoring_G,Scoring_A,Scoring_PTS,+/-,PIM,Goals_EVG,Goals_PPG,Goals_SHG,Goals_GWG,Assists_EV,Assists_PP,Assists_SH,Shots_SOG,Shots_SPCT,Shots_TSA,Ice Time_TOI,Ice Time_ATOI,Faceoffs_FOW,Faceoffs_FOL,Faceoffs_FO%,BLK,HIT,TAKE,GIVE,Awards,url
1.0,Jordan Eberle,35.0,RW,80,26,29,55,2,28,22,4,0,3,17,12,0,168,15.5,311,1478:07,18:29,12,20,37.5,43,55,24,56,,eberljo01
2.0,Matty Beniers,23.0,C,82,20,30,50,-8,23,14,6,0,1,25,5,0,149,13.4,321,1580:41,19:17,515,557,48.0,69,31,21,82,,beniema01
3.0,Chandler Stephenson,31.0,C,80,16,33,49,-24,14,10,6,0,3,21,10,2,93,17.2,159,1550:32,19:23,759,698,52.1,56,20,32,67,Byng-58,stephch02
4.0,Vince Dunn,29.0,D,81,11,33,44,-24,54,9,2,0,3,14,19,0,179,6.1,380,1754:39,21:40,0,0,,86,27,29,88,,dunnvi02
5.0,Kaapo Kakko,24.0,RW,65,13,27,40,14,14,11,2,0,2,21,6,0,78,16.7,156,926:44,14:15,17,20,45.9,12,30,19,43,,kakkoka01
6.0,Jared McCann,29.0,C,52,20,20,40,-7,11,13,7,0,2,14,6,0,117,17.1,228,854:34,16:26,13,12,52.0,25,40,14,59,,mccanja01
7.0,Eeli Tolvanen,26.0,RW,78,12,24,36,-18,30,7,5,0,0,15,9,0,141,8.5,294,1251:17,16:03,0,3,0.0,81,187,18,49,,tolvaee01
8.0,Brandon Montour,31.0,D,64,11,21,32,-21,45,9,2,0,3,15,6,0,175,6.3,375,1443:49,22:34,0,0,,78,75,32,92,,montobr01
9.0,Shane Wright,22.0,C,74,12,15,27,6,10,10,2,0,2,11,4,0,97,12.4,188,1021:19,13:48,217,329,39.7,59,51,12,67,,wrighsh01
10.0,Jaden Schwartz,33.0,C,50,11,15,26,5,8,8,2,1,2,14,1,0,82,13.4,156,807:02,16:08,32,22,59.3,42,32,25,47,,schwaja01
